Japanese,Pronunciation,Meaning
こんにちは,Konnichiwa,Hello / Good afternoon
おはようございます,Ohayou gozaimasu,Good morning
こんばんは,Konbanwa,Good evening
さようなら,Sayounara,Goodbye
お元気ですか？,Ogenki desu ka?,How are you?
はじめまして,Hajimemashite,Nice to meet you
わたしの名前は___です,Watashi no namae wa ___ desu,My name is ___
よろしくお願いします,Yoroshiku onegaishimasu,Please treat me well / Nice to meet you
ありがとうございます,Arigatou gozaimasu,Thank you (polite)
どういたしまして,Dou itashimashite,You're welcome
すみません,Sumimasen,Excuse me / Sorry
はい,Hai,Yes
いいえ,Iie,No
わかりません,Wakarimasen,I don’t understand
もう一度お願いします,Mou ichido onegaishimasu,Please say that again
これ/それ/あれは何ですか？,Kore / Sore / Are wa nan desu ka?,What is this/that?
いくらですか？,Ikura desu ka?,How much is this?
トイレはどこですか？,Toire wa doko desu ka?,Where is the bathroom?
助けてください,Tasukete kudasai,Please help me
ちょっと待ってください,Chotto matte kudasai,Please wait a moment
一,Ichi,One
二,Ni,Two
三,San,Three
百,Hyaku,Hundred
これをください,Kore o kudasai,"I’ll take this, please"
すごい！,Sugoi!,Amazing!
